date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,label
1978-06-03,Peru,Scotland,0.3333333333333333,0.125,1.6666666666666667,0.875,2.1666666666666665,1.875,0.5,-2,1
1978-06-06,Argentina,France,0.3,0.4,1.3,2.6,1.4,2.2,1.0,5,1
1978-06-06,Germany,Mexico,0.7,0.3,1.7,1.1,0.8,1.2,0.5,20,1
1978-06-06,Hungary,Italy,0.4,0.5,1.8,1.7,1.4,1.3,0.0,-6,0
1978-06-07,Austria,Sweden,0.5,0.3,2.3,1.0,2.3,0.9,0.5,-13,1
1978-06-10,Argentina,Italy,0.4,0.5,1.5,1.9,1.5,1.4,0.0,-7,0
1978-06-10,France,Hungary,0.3,0.4,2.0,1.8,2.1,1.5,0.5,-6,1
1978-06-10,Mexico,Poland,0.3,0.7,1.1,2.2,1.7,1.1,0.5,13,0
1978-06-11,Austria,Brazil,0.6,0.4,2.2,1.1,2.0,0.6,0.0,-33,0
1978-06-11,Netherlands,Scotland,0.6,0.1,1.8,0.9,0.6,1.9,0.5,1,0
1978-06-11,Spain,Sweden,0.2,0.3,0.9,1.0,1.9,0.9,0.0,-10,1
1978-06-14,Argentina,Poland,0.3,0.8,1.3,2.0,1.6,0.6,1.0,14,1
1978-06-14,Austria,Netherlands,0.5,0.6,2.1,2.0,2.1,0.6,0.5,3,0
1978-06-14,Brazil,Peru,0.4,0.4444444444444444,0.8,1.8888888888888888,0.5,1.6666666666666667,1.0,39,1
1978-06-18,Austria,Italy,0.4,0.6,1.7,2.0,2.6,1.4,1.0,-17,0
1978-06-18,Peru,Poland,0.4,0.7,1.7,1.7,1.8,0.6,0.5,-2,0
1978-06-21,Argentina,Peru,0.4,0.4,1.3,1.6,1.2,1.6,0.5,16,1
1978-06-21,Austria,Germany,0.3,0.5,1.0,1.7,2.2,0.6,0.0,-29,1
1978-06-21,Brazil,Poland,0.5,0.7,1.1,1.1,0.5,0.6,0.5,37,1
1978-06-21,Italy,Netherlands,0.6,0.6,1.7,2.5,1.3,0.9,0.5,20,0
1978-06-24,Brazil,Italy,0.5,0.5,1.1,1.4,0.6,1.2,0.5,16,1
1978-06-25,Argentina,Netherlands,0.5,0.6,1.8,2.3,1.1,0.9,1.0,13,1
1982-06-13,Argentina,Belgium,0.5,0.1111111111111111,1.7,1.3333333333333333,1.1,2.7777777777777777,0.5,20,0
1982-06-14,Brazil,Russia,0.5,0.6,1.2,1.6,0.7,0.8,1.0,33,1
1982-06-15,Hungary,El Salvador,0.3,0.0,1.7,0.0,1.7,3.0,0.5,23,1
1982-06-16,England,France,0.7,0.4,1.5,2.1,0.7,1.9,1.0,4,1
1982-06-17,Chile,Austria,0.2,0.4,0.8,1.2,1.4,1.8,0.5,0,0
1982-06-18,Argentina,Hungary,0.5,0.3,1.7,2.1,0.8,1.7,0.5,3,1
1982-06-18,Brazil,Scotland,0.5,0.3,1.2,1.7,0.7,1.5,0.0,41,1
1982-06-19,Belgium,El Salvador,0.2,0.0,1.3,0.25,2.5,4.75,1.0,6,1
1982-06-20,England,Czechoslovakia,0.8,0.3,1.8,1.0,0.8,1.5,0.0,2,1
1982-06-20,Germany,Chile,0.4,0.2,1.8,0.8,1.0,1.3,0.5,29,1
1982-06-20,Spain,Yugoslavia,0.3,0.2,0.9,1.4,1.1,1.1,0.5,-7,1
1982-06-22,Poland,Peru,0.4,0.2,0.7,1.1,0.7,2.0,0.0,2,1
