date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_win_rate_vs_top,away_win_rate_vs_top,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2003-07-04,Jersey,Isle of Wight,0.6,0.4,2.3,3.3,1.0,1.5,0.33,0.33,0.6666666666666666,18,100,100,0,1
2003-07-04,Orkney,Shetland,0.1428571428571428,0.4,0.8571428571428571,2.1,5.428571428571429,2.2,0.33,0.33,0.5,-13,100,100,0,0
2003-07-04,Saare County,Alderney,0.1,0.0,0.8,0.4,3.1,4.4,0.33,0.33,0.5,-3,100,100,0,0
2004-02-18,United States Virgin Islands,Saint Kitts and Nevis,0.0,0.7,0.7777777777777778,2.0,7.111111111111111,0.8,0.33,0.33,0.5,-45,100,100,0,0
2004-03-06,Alderney,Jersey,0.1,0.7,0.5,2.4,3.8,0.8,0.33,0.33,0.2,-30,100,100,0,0
2004-03-31,Saint Kitts and Nevis,United States Virgin Islands,0.7,0.0,2.0,0.7,0.8,6.8,0.33,0.33,0.0,45,100,100,0,1
2004-05-03,Jersey,Guernsey,0.7,0.6,2.6,3.4,0.8,1.2,0.33,0.33,0.6666666666666666,6,100,100,0,1
2004-09-10,Saint Vincent and the Grenadines,Saint Kitts and Nevis,0.3,0.7,1.2,2.3,2.9,1.0,0.33,0.33,0.2,-15,100,100,0,1
2004-10-13,Saint Kitts and Nevis,Saint Vincent and the Grenadines,0.5,0.4,2.0,1.2,1.4,2.2,0.33,0.33,0.3333333333333333,14,100,100,0,0
2004-11-10,Guadeloupe,French Guiana,0.6,0.0,2.7,0.9,1.2,1.8,0.33,0.33,0.5,10,100,100,0,0
2005-03-12,Alderney,Guernsey,0.1,0.5,0.5,3.1,4.0,1.3,0.33,0.33,0.1428571428571428,-25,100,100,0,0
2005-07-10,Guernsey,Orkney,0.5,0.125,3.1,0.75,1.4,5.5,0.33,0.33,1.0,36,100,100,0,1
2005-07-10,Saare County,Åland Islands,0.1,0.5,0.7,1.9,2.6,1.8,0.33,0.33,0.5,0,100,100,0,1
2005-07-10,Shetland,Falkland Islands,0.4,0.25,2.3,1.0,2.1,4.25,0.33,0.33,0.5,17,100,100,0,1
2005-07-11,Orkney,Greenland,0.1111111111111111,0.5,0.6666666666666666,2.8,5.222222222222222,0.7,0.33,0.33,0.5,-18,100,100,0,0
