date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2006-06-15,Ecuador,Costa Rica,0.5,0.375,1.0,1.375,1.0,2.0,0.5,-4,39.0,26.0,-13.0,1
2006-06-16,Argentina,Serbia,0.5,0.4,1.6,1.0,1.0,1.0,0.5,56,9.0,47.0,38.0,1
2006-06-17,Portugal,Iran,0.5,0.1428571428571428,1.7,0.7142857142857143,1.4,2.142857142857143,0.5,6,7.0,23.0,16.0,1
2006-06-18,Brazil,Australia,0.8,0.25,2.0,0.75,0.8,1.5,0.5,84,1.0,42.0,41.0,1
2006-06-19,Spain,Tunisia,0.5,0.1,2.3,0.7,1.1,1.3,0.5,36,5.0,21.0,16.0,1
2006-06-20,Costa Rica,Poland,0.3333333333333333,0.3,1.2222222222222223,0.7,2.111111111111111,1.9,0.5,-21,26.0,29.0,3.0,0
2006-06-20,Germany,Ecuador,0.7,0.6,1.9,1.4,0.8,0.8,0.5,82,19.0,39.0,20.0,1
2006-06-21,Portugal,Mexico,0.5,0.4,1.4,1.5,1.1,1.2,0.5,-29,7.0,4.0,-3.0,1
2006-06-22,Japan,Brazil,0.2222222222222222,0.9,0.7777777777777778,2.1,1.1111111111111112,0.7,0.5,-80,18.0,1.0,-17.0,0
2006-06-23,Switzerland,South Korea,0.2,0.4,0.8,1.2,1.9,0.9,0.5,1,35.0,29.0,-6.0,1
2006-06-23,Saudi Arabia,Spain,0.1,0.6,0.6,2.5,2.8,1.0,0.5,-35,34.0,5.0,-29.0,0
2006-06-24,Argentina,Mexico,0.5,0.3,1.9,1.3,0.7,1.3,1.0,19,9.0,4.0,-5.0,1
2006-06-24,Germany,Sweden,0.8,0.3,2.2,1.4,0.5,1.0,1.0,43,19.0,16.0,-3.0,1
2006-06-25,Portugal,Netherlands,0.6,0.5,1.5,1.6,1.0,0.8,0.5,-20,7.0,3.0,-4.0,1
2006-06-25,England,Ecuador,0.5,0.5,1.5,1.1666666666666667,0.7,1.1666666666666667,0.5,47,10.0,39.0,29.0,1
2006-06-26,Italy,Australia,0.5,0.1666666666666666,1.3,0.8333333333333334,0.7,1.6666666666666667,0.5,67,13.0,42.0,29.0,1
2006-06-27,Brazil,Ghana,1.0,0.6666666666666666,2.5,1.3333333333333333,0.5,1.0,0.5,87,1.0,48.0,47.0,1
2006-06-27,Spain,France,0.7,0.4,2.4,0.9,0.7,0.5,0.5,1,5.0,8.0,3.0,0
2006-06-30,Italy,Ukraine,0.5,0.5,1.2,1.25,0.6,1.0,0.5,70,13.0,45.0,32.0,1
2006-07-01,Brazil,France,1.0,0.4,2.6,1.1,0.4,0.6,0.6666666666666666,43,1.0,8.0,7.0,0
2006-07-04,Germany,Italy,0.8,0.5,1.6,1.4,0.5,0.6,0.25,15,19.0,13.0,-6.0,0
2006-07-05,Portugal,France,0.5,0.5,1.3,1.2,0.9,0.6,0.5,-32,7.0,8.0,1.0,0
2006-07-08,Germany,Portugal,0.7,0.5,1.4,1.3,0.7,0.9,0.5,73,19.0,7.0,-12.0,1
2010-06-12,Argentina,Nigeria,0.4,0.3,1.6,1.1,0.9,1.6,1.0,54,7.0,21.0,14.0,1
2010-06-12,South Korea,Greece,0.4,0.0,1.1,0.0,1.0,3.333333333333333,0.5,21,47.0,13.0,-34.0,1
2010-06-13,Germany,Australia,0.7,0.1428571428571428,1.6,0.7142857142857143,0.8,1.5714285714285714,1.0,85,6.0,20.0,14.0,1
2010-06-13,Algeria,Slovenia,0.3333333333333333,0.0,1.0,0.6666666666666666,1.6666666666666667,2.333333333333333,0.5,3,30.0,25.0,-5.0,0
2010-06-13,Serbia,Ghana,0.2857142857142857,0.5,1.0,1.0,2.0,1.5,0.5,3,15.0,32.0,17.0,0
2010-06-14,Netherlands,Denmark,0.5,0.4,1.6,1.5,0.9,1.7,0.5,23,4.0,36.0,32.0,1
2010-06-14,Japan,Cameroon,0.2,0.1,0.8,0.9,1.4,2.2,0.5,-7,45.0,19.0,-26.0,1
2010-06-15,Brazil,North Korea,0.9,0.25,2.2,1.25,0.5,2.25,0.5,88,1.0,105.0,104.0,1
2010-06-16,South Africa,Uruguay,0.1428571428571428,0.1,1.2857142857142858,0.6,1.7142857142857142,1.1,0.5,-34,83.0,16.0,-67.0,0
2010-06-16,Spain,Switzerland,0.7,0.3,2.5,1.0,1.0,1.1,1.0,23,2.0,24.0,22.0,0
2010-06-16,Honduras,Chile,0.0,0.0,0.6666666666666666,0.9,1.0,1.8,0.5,-22,38.0,18.0,-20.0,0
2010-06-17,Greece,Nigeria,0.0,0.3,0.0,1.0,3.0,1.5,0.0,-8,13.0,21.0,8.0,1
2010-06-17,France,Mexico,0.4,0.3,0.9,1.1,0.5,1.2,0.6666666666666666,6,9.0,17.0,8.0,0
2010-06-17,Argentina,South Korea,0.5,0.4,1.5,1.1,0.7,1.0,1.0,41,7.0,47.0,40.0,1
2010-06-18,Germany,Serbia,0.7,0.25,1.9,0.875,0.8,1.875,0.0,85,6.0,15.0,9.0,0
2010-06-19,Cameroon,Denmark,0.1,0.4,0.7,1.4,2.0,1.4,0.5,4,19.0,36.0,17.0,0
2010-06-19,Netherlands,Japan,0.5,0.3,1.3,0.9,0.9,1.3,0.5,26,4.0,45.0,41.0,1
2010-06-20,Brazil,Ivory Coast,0.9,0.25,1.9,1.25,0.4,1.5,0.5,89,1.0,27.0,26.0,1
2010-06-21,Portugal,North Korea,0.5,0.2,1.1,1.2,0.6,2.2,0.0,15,3.0,105.0,102.0,1
2010-06-21,Spain,Honduras,0.6,0.0,1.9,0.5,1.0,1.0,0.0,46,2.0,38.0,36.0,1
2010-06-21,Chile,Switzerland,0.1,0.4,1.0,1.0,1.7,0.9,1.0,-1,18.0,24.0,6.0,1
